"Source:","C:\Users\ASus\Desktop\kicad proteus projects\TSAL\TSALv3.kicad_sch"
"Date:","21-12-2023 20:19:37"
"Tool:","Eeschema 7.0.5"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","50"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","0.33u","C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","Unpolarized capacitor","",""
"C2","1","10n","C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","Unpolarized capacitor","",""
"C3","1","0.1u","C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","Unpolarized capacitor","",""
"C4, C5","2","100n","C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","Unpolarized capacitor","",""
"C6","1","1u","C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","Unpolarized capacitor","",""
"D1, D3, D4","3","1N4002","1N4002","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","100V 1A General Purpose Rectifier Diode, DO-41","",""
"D2","1","12V","D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","Zener diode","",""
"J1, J2, J3, J4, J5, J6, J7, J8, J9","9","Screw_Terminal_01x02","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"K1","1","SRD-12VDC-SL-C","SRD-12VDC-SL-C","SRD-12VDC-SL-C:RELAY_SRD-12VDC-SL-C","","",""
"K2","1","FINDER-40.52","FINDER-40.52","Relay_THT:Relay_DPDT_Finder_40.52","FINDER 40.52, Dual Pole Relay, 5mm Pitch, 10A","",""
"Q1","1","IRF540N","IRF540N","Package_TO_SOT_THT:TO-220-3_Vertical","33A Id, 100V Vds, HEXFET N-Channel MOSFET, TO-220","",""
"R1, R13, R14, R15, R28","5","10k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R2, R4, R6","3","47k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R3, R8, R9, R12, R18, R19","6","1k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R5","1","1K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R7","1","249k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R10, R11, R27","3","100","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R16, R17","2","180k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"U1","1","LM393","LM393","Package_DIP:DIP-8_W7.62mm","Low-Power, Low-Offset Voltage, Dual Comparators, DIP-8/SOIC-8/TO-99-8","",""
"U3, U8","2","4N35","4N35","Package_DIP:DIP-6_W7.62mm","Optocoupler, Phototransistor Output, with Base Connection, Vce 70V, CTR 100%, Viso 5000V, DIP6","",""
"U4","1","NE555P","NE555P","Package_DIP:DIP-8_W7.62mm","Precision Timers, 555 compatible,  PDIP-8","",""
"U5","1","L7805","L7805","Package_TO_SOT_THT:TO-220-3_Vertical","Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252","",""
"U6","1","SN74LS04N","SN74LS04N","SN74HC00N:DIP794W45P254L1969H508Q14","","",""
"U7","1","SN74LS08N","SN74LS08N","SN74HC00N:DIP794W45P254L1969H508Q14","","",""
